1;1;87
1;2;56
1;3;16
1;4;54
1;5;51
2;1;11
2;2;72
2;3;90
2;4;53
2;5;39
3;1;12
3;2;84
3;3;82
3;4;98
3;5;5
4;1;62
4;2;93
4;3;25
4;4;8
4;5;18
5;6;95
5;7;64
5;8;89
5;9;90
6;6;90
6;7;56
6;8;8
6;9;42
7;1;92
7;2;18
7;3;90
7;4;67
7;5;64
8;1;74
8;2;30
8;3;90
8;4;52
8;5;15
9;1;39
9;2;85
9;3;94
9;4;44
9;5;19
10;1;80
10;2;80
10;3;12
10;4;60
10;5;10
11;6;100
11;7;8
11;8;71
11;9;100
12;6;22
12;7;18
12;8;57
12;9;59
13;1;66
13;2;95
13;3;21
13;4;86
13;5;69
14;1;48
14;2;9
14;3;1
14;4;20
14;5;76
15;1;25
15;2;36
15;3;64
15;4;62
15;5;51
16;1;7
16;2;91
16;3;58
16;4;6
16;5;74
17;6;84
17;7;26
17;8;13
17;9;35
18;6;38
18;7;89
18;8;48
18;9;6
19;1;37
19;2;98
19;3;30
19;4;5
19;5;8
20;1;62
20;2;4
20;3;61
20;4;1
20;5;42
21;1;21
21;2;27
21;3;94
21;4;70
21;5;15
22;1;19
22;2;21
22;3;10
22;4;40
22;5;99
23;6;2
23;7;96
23;8;41
23;9;92
24;6;46
24;7;68
24;8;4
24;9;86
25;1;95
25;2;36
25;3;50
25;4;98
25;5;86
26;1;22
26;2;23
26;3;55
26;4;77
26;5;88
27;1;19
27;2;91
27;3;85
27;4;31
27;5;94
28;1;3
28;2;53
28;3;53
28;4;30
28;5;97
29;6;71
29;7;22
29;8;6
29;9;97
30;6;89
30;7;34
30;8;36
30;9;77
